epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,85.8551,1.54089,2.78765,1.11814,0.93416,0.07143,0.1068,0.08186,1.71845,4.03989,1.31019,0.000210638,0.000210638,0.000210638
67,87.1699,1.86756,2.63455,1.22021,0.93416,0.07143,0.1068,0.08186,1.71845,4.03989,1.31019,0.000207939,0.000207939,0.000207939
68,88.5188,1.74724,2.35653,1.11257,0.93416,0.07143,0.1068,0.08186,1.71845,4.03989,1.31019,0.00020506,0.00020506,0.00020506
69,89.7084,1.67248,2.49814,1.1138,0.93898,0.07143,0.10839,0.08313,1.67183,3.97627,1.31337,0.000202002,0.000202002,0.000202002
70,90.873,1.5504,2.30625,1.04104,0.93898,0.07143,0.10839,0.08313,1.67183,3.97627,1.31337,0.000198763,0.000198763,0.000198763
71,92.1014,1.35868,2.45277,1.08955,0.93898,0.07143,0.10839,0.08313,1.67183,3.97627,1.31337,0.000195344,0.000195344,0.000195344
72,93.429,1.53318,2.46374,1.24463,0.94775,0.07143,0.11427,0.08783,1.67252,3.93753,1.32467,0.000191745,0.000191745,0.000191745
73,94.6069,1.42081,2.30439,1.01947,0.94775,0.07143,0.11427,0.08783,1.67252,3.93753,1.32467,0.000187967,0.000187967,0.000187967
74,95.8999,1.43491,2.34276,1.1295,0.94775,0.07143,0.11427,0.08783,1.67252,3.93753,1.32467,0.000184008,0.000184008,0.000184008
75,97.4314,1.41452,2.10769,1.04596,0.95625,0.07143,0.14257,0.11047,1.75555,3.88225,1.32984,0.000179869,0.000179869,0.000179869
76,98.8086,1.33803,2.17542,1.07007,0.95625,0.07143,0.14257,0.11047,1.75555,3.88225,1.32984,0.000175551,0.000175551,0.000175551
77,100.076,1.69363,2.52162,1.12465,0.95625,0.07143,0.14257,0.11047,1.75555,3.88225,1.32984,0.000171052,0.000171052,0.000171052
78,101.412,1.5559,2.29917,1.12915,0.95284,0.07143,0.1779,0.13163,1.81846,3.78661,1.31294,0.000166373,0.000166373,0.000166373
79,102.755,1.24951,2.16579,1.01521,0.95284,0.07143,0.1779,0.13163,1.81846,3.78661,1.31294,0.000161515,0.000161515,0.000161515
80,104.199,1.20917,2.08355,0.99264,0.95284,0.07143,0.1779,0.13163,1.81846,3.78661,1.31294,0.000156476,0.000156476,0.000156476
81,105.791,1.3951,2.11916,1.06151,0.94955,0.07143,0.17793,0.13165,1.89375,3.72581,1.33535,0.000151258,0.000151258,0.000151258
82,107.361,1.3348,1.89787,1.02168,0.94955,0.07143,0.17793,0.13165,1.89375,3.72581,1.33535,0.000145859,0.000145859,0.000145859
83,109.015,1.2811,2.12657,1.07705,0.94955,0.07143,0.17793,0.13165,1.89375,3.72581,1.33535,0.000140281,0.000140281,0.000140281
84,110.49,1.41484,2.07812,1.08251,0.94338,0.07143,0.17794,0.13876,1.90619,3.65678,1.32102,0.000134522,0.000134522,0.000134522
85,112.013,1.37293,1.98403,1.05002,0.94338,0.07143,0.17794,0.13876,1.90619,3.65678,1.32102,0.000128584,0.000128584,0.000128584
86,113.446,1.47281,2.15587,1.02874,0.94338,0.07143,0.17794,0.13876,1.90619,3.65678,1.32102,0.000122465,0.000122465,0.000122465
87,114.784,1.60578,3.14156,1.14149,0.94338,0.07143,0.17794,0.13876,1.90619,3.65678,1.32102,0.000116167,0.000116167,0.000116167
88,116.014,1.3173,2.28927,1.12362,0.80017,0.07584,0.26072,0.15759,1.94216,3.60615,1.33427,0.000109688,0.000109688,0.000109688
